Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL,Stage
0,-1716.642,-17146.7582,-3163.2786,1846.0789,-1174.9235,-18863.4002,-2492.1232,-21355.523400000002,34
1,-1744.0358,-17152.2296,-3140.7225,1853.0814,-1178.5497,-18896.2654,-2466.1908,-21362.4562,34
2,-1714.8037,-17250.6329,-3027.4081,1855.3825,-1183.6561,-18965.4366,-2355.6817,-21321.118300000002,34
3,-1726.5552,-17223.271,-3026.5388,1850.9882,-1172.9864,-18949.8262,-2348.537,-21298.3632,34
4,-1711.2828,-17281.9446,-3009.4027,1841.9398,-1166.9097,-18993.2274,-2334.3725999999997,-21327.6,34
5,-1750.4967,-17243.5159,-3072.0482,1835.8965,-1166.6697,-18994.0126,-2402.8214,-21396.834,34
6,-1750.9787,-17301.7132,-3018.0442,1830.2643,-1153.4521,-19052.691899999998,-2341.232,-21393.923899999998,34
7,-1724.2413,-17128.2899,-3170.6669,1848.5595,-1166.2021,-18852.5312,-2488.3095000000003,-21340.8407,34
8,-1716.922,-17072.9782,-3222.5017,1844.4205,-1169.3695,-18789.9002,-2547.4507,-21337.3509,34
9,-1759.7438,-17117.5261,-3190.3546,1841.7792,-1169.6191,-18877.2699,-2518.1945,-21395.464399999997,34
10,-1728.3626,-17181.8083,-3138.784,1833.9877,-1157.3868,-18910.1709,-2462.1831,-21372.354,34
11,-1743.0891,-17225.1301,-3065.5365,1830.7936,-1147.6643,-18968.2192,-2382.4072,-21350.6264,34
12,-1787.4823,-17208.0559,-3122.7714,1831.3464,-1147.3121,-18995.5382,-2438.7371000000003,-21434.2753,34
13,-1719.2172,-17298.6504,-3045.0795,1840.3192,-1154.4791,-19017.867599999998,-2359.2394,-21377.107,34
14,-1730.4296,-17172.6889,-3122.6221,1845.1387,-1176.538,-18903.1185,-2454.0214,-21357.139900000002,34
15,-1734.7049,-17241.8469,-3048.0234,1843.5794,-1171.5038,-18976.5518,-2375.9478,-21352.4996,34
16,-1737.7209,-17308.7221,-3002.6578,1834.3845,-1155.1935,-19046.443,-2323.4668,-21369.9098,34
17,-1748.3796,-17278.8869,-3053.5249,1833.8175,-1158.5834,-19027.2665,-2378.2907999999998,-21405.5573,34
18,-1755.6943,-17295.7016,-2989.2197,1841.6233,-1161.216,-19051.3959,-2308.8124,-21360.208300000002,34
19,-1702.8226,-17243.3609,-3008.5074,1845.271,-1173.237,-18946.1835,-2336.4734,-21282.656899999998,34
