Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL,Stage
0,-1780.9372,-17826.7872,-3367.7539,88.56134784,-19607.7244,-3279.19255216,-22886.916952159998,31
1,-1748.9047,-17801.9186,-3411.8785,89.3445228,-19550.8233,-3322.5339771999998,-22873.3572772,31
2,-1755.1053,-17704.1881,-3465.8853,89.78175864,-19459.2934,-3376.10354136,-22835.396941359995,31
3,-1761.2593,-17808.994,-3280.7537,88.45925688,-19570.2533,-3192.2944431200003,-22762.54774312,31
4,-1794.8384,-17706.4122,-3373.1883,86.89428288,-19501.2506,-3286.29401712,-22787.544617120002,31
5,-1744.2575,-17839.2385,-3360.9605,88.17443784,-19583.496,-3272.7860621600003,-22856.28206216,31
6,-1802.4835,-17690.2592,-3419.2543,87.06514247999999,-19492.7427,-3332.18915752,-22824.931857519998,31
7,-1798.5981,-17671.555,-3498.0256,88.53722784,-19470.1531,-3409.48837216,-22879.64147216,31
8,-1785.0985,-17546.972,-3591.7657,91.11323376,-19332.0705,-3500.6524662399997,-22832.722966240002,31
9,-1783.318,-17623.1826,-3511.3509,88.58210472,-19406.5006,-3422.7687952799997,-22829.26939528,31
10,-1765.8505,-17613.1827,-3495.7864,90.03041064,-19379.0332,-3405.75598936,-22784.789189360003,31
11,-1750.5258,-17569.6081,-3516.1402,91.5513876,-19320.1339,-3424.5888124,-22744.722712400002,31
12,-1739.7584,-17666.6029,-3526.5849,89.33311512,-19406.3613,-3437.25178488,-22843.61308488,31
13,-1741.5819,-17808.7398,-3398.5264,90.00508176,-19550.3217,-3308.5213182400003,-22858.84301824,31
14,-1750.8034,-17785.5014,-3417.5023,87.59854872,-19536.3048,-3329.90375128,-22866.20855128,31
15,-1739.3063,-17669.3826,-3542.1801,90.75047111999999,-19408.6889,-3451.42962888,-22860.11852888,31
16,-1730.7799,-17770.9402,-3429.0632,89.64329472,-19501.720100000002,-3339.41990528,-22841.14000528,31
17,-1776.4297,-17699.3664,-3427.6006,87.91472664,-19475.7961,-3339.68587336,-22815.48197336,31
18,-1744.1166,-17707.829,-3428.9847,90.1128636,-19451.945600000003,-3338.8718364,-22790.817436400004,31
19,-1770.0812,-17729.6426,-3441.9408,90.103698,-19499.7238,-3351.837102,-22851.560902,31
