Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL,Stage
0,-1906.3156,-17938.0165,-3192.562,73.74958344,-19844.3321,-3118.8124165599997,-22963.144516559998,1
1,-1914.9509,-17843.6367,-3239.3502,73.86832439999999,-19758.5876,-3165.4818756,-22924.0694756,1
2,-1899.0412,-17956.1612,-3124.0299,71.49885408,-19855.2024,-3052.53104592,-22907.73344592,1
3,-1910.8419,-17986.7921,-3107.095,73.66117752,-19897.634,-3033.43382248,-22931.06782248,1
4,-1888.0642,-17869.654,-3199.8288,72.42901488,-19757.7182,-3127.3997851199997,-22885.11798512,1
5,-1876.7635,-17970.962,-3169.6973,72.88772256,-19847.7255,-3096.80957744,-22944.53507744,1
6,-1892.622,-17940.2686,-3150.8151,74.04473232,-19832.8906,-3076.7703676799997,-22909.66096768,1
7,-1866.3439,-17998.3527,-3129.1056,73.36708704,-19864.6966,-3055.7385129599998,-22920.43511296,1
8,-1902.271,-17913.0881,-3179.7729,72.61040736,-19815.3591,-3107.16249264,-22922.52159264,1
9,-1882.8578,-18054.414,-3104.7911,72.44079552000001,-19937.271800000002,-3032.35030448,-22969.62210448,1
10,-1871.1664,-17889.5749,-3195.2123,71.82799560000001,-19760.7413,-3123.3843044,-22884.1256044,1
11,-1885.0575,-17895.0492,-3178.8599,71.69172119999999,-19780.1067,-3107.1681788,-22887.2748788,1
12,-1879.7392,-17891.6655,-3181.9384,72.9594432,-19771.4047,-3108.9789568,-22880.383656799997,1
13,-1898.1011,-18004.109,-3091.6579,73.52114976,-19902.2101,-3018.1367502400003,-22920.346850240003,1
14,-1857.2387,-18012.0302,-3136.5881,72.44406648,-19869.268900000003,-3064.14403352,-22933.412933520005,1
15,-1879.9047,-18123.7324,-3020.1124,70.658388,-20003.6371,-2949.454012,-22953.091112,1
16,-1898.814,-18031.1854,-3070.2838,69.26475672000001,-19929.999399999997,-3001.01904328,-22931.018443279998,1
17,-1912.0888,-18027.5153,-3090.3981,70.50321072,-19939.6041,-3019.89488928,-22959.49898928,1
18,-1871.121,-18168.4751,-2996.2007,70.51563143999999,-20039.5961,-2925.6850685599998,-22965.28116856,1
19,-1851.1541,-18130.9191,-2979.3246,69.98108832,-19982.0732,-2909.34351168,-22891.416711679998,1
0,-1860.617,-18036.1587,-3051.3371,73.23197184,-19896.7757,-2978.1051281600003,-22874.88082816,2
1,-1864.7908,-18084.9924,-3049.4202,71.77920984,-19949.783199999998,-2977.64099016,-22927.42419016,2
2,-1896.9847,-18008.9921,-3146.7606,73.02689855999999,-19905.9768,-3073.73370144,-22979.71050144,2
3,-1879.5001,-17922.1855,-3251.5825,74.1547548,-19801.6856,-3177.4277452,-22979.1133452,2
4,-1886.1753,-17971.9549,-3206.3752,74.09440079999999,-19858.1302,-3132.2807992,-22990.410999199998,2
5,-1875.5518,-17933.6223,-3167.466,71.89314768,-19809.1741,-3095.57285232,-22904.74695232,2
6,-1874.4414,-18026.2252,-3134.2893,74.23923456,-19900.6666,-3060.05006544,-22960.716665440003,2
7,-1891.5587,-18100.1816,-3106.6352,75.64554288,-19991.7403,-3030.98965712,-23022.729957120002,2
8,-1865.3303,-18106.6768,-3060.1209,72.89626032000001,-19972.007100000003,-2987.22463968,-22959.231739680003,2
9,-1875.4373,-17972.6009,-3182.5707,73.98641664,-19848.038200000003,-3108.5842833600004,-22956.622483360003,2
10,-1890.5446,-17993.7115,-3161.3778,72.81493848,-19884.256100000002,-3088.5628615200003,-22972.81896152,2
11,-1859.7309,-18031.583,-3184.3161,74.92441392,-19891.313899999997,-3109.39168608,-23000.705586079996,2
12,-1826.9755,-18057.8122,-3120.5767,74.5600896,-19884.7877,-3046.0166104,-22930.804310400003,2
13,-1853.5952,-18024.1707,-3161.6648,74.68802784,-19877.7659,-3086.97677216,-22964.74267216,2
14,-1850.0729,-18040.4388,-3142.5193,75.56809392,-19890.5117,-3066.95120608,-22957.46290608,2
15,-1854.4459,-18103.6014,-3136.4607,76.99071672,-19958.0473,-3059.46998328,-23017.517283279998,2
16,-1872.3248,-18080.2274,-3128.0945,74.16627912,-19952.5522,-3053.92822088,-23006.480420879998,2
17,-1861.7531,-18030.2226,-3165.9888,73.3469436,-19891.975700000003,-3092.6418564,-22984.6175564,2
18,-1888.0535,-18151.4599,-3077.3951,74.59839216,-20039.513400000003,-3002.79670784,-23042.310107840007,2
19,-1807.2997,-18034.5021,-3141.449,75.38723352,-19841.8018,-3066.06176648,-22907.863566480002,2
0,-1863.1985,-18040.9111,-3136.4154,75.30428015999999,-19904.1096,-3061.11111984,-22965.220719840003,3
1,-1868.0547,-17949.0911,-3164.6306,75.21178895999999,-19817.145800000002,-3089.41881104,-22906.56461104,3
2,-1862.9113,-18015.4092,-3253.2658,75.75910271999999,-19878.320499999998,-3177.50669728,-23055.82719728,3
3,-1846.8065,-18105.8045,-3095.4584,75.62307815999999,-19952.610999999997,-3019.83532184,-22972.446321839998,3
4,-1852.3191,-18135.0141,-3039.0034,75.3556356,-19987.3332,-2963.6477644,-22950.9809644,3
5,-1829.5766,-18093.7051,-3028.3558,75.35502144,-19923.2817,-2953.0007785599996,-22876.282478560002,3
6,-1851.119,-18193.8468,-3020.6335,76.42175976,-20044.965799999998,-2944.21174024,-22989.177540239998,3
7,-1876.4325,-18100.8302,-3045.4955,73.85098176,-19977.2627,-2971.64451824,-22948.90721824,3
8,-1822.0162,-18172.0953,-3062.8506,76.74964920000001,-19994.1115,-2986.1009508,-22980.2124508,3
9,-1841.4859,-18214.8144,-3013.6184,75.79278288,-20056.3003,-2937.82561712,-22994.12591712,3
10,-1877.8983,-18057.4023,-3066.2101,74.29169376,-19935.300600000002,-2991.91840624,-22927.219006240004,3
11,-1861.5164,-18088.7607,-3026.2233,73.71328032,-19950.2771,-2952.51001968,-22902.78711968,3
12,-1837.8136,-18128.6668,-3055.5208,76.27292712,-19966.4804,-2979.2478728799997,-22945.72827288,3
13,-1880.4043,-18166.3334,-2997.5887,72.84628151999999,-20046.737699999998,-2924.7424184799997,-22971.480118479998,3
14,-1802.5976,-18202.1847,-2975.418,74.68230096,-20004.782300000003,-2900.7356990400003,-22905.517999040003,3
15,-1852.0779,-18074.97,-3172.3045,75.31261848,-19927.0479,-3096.9918815200003,-23024.039781520005,3
16,-1835.8295,-18082.6748,-3124.6811,74.52874152,-19918.5043,-3050.1523584799997,-22968.656658480002,3
17,-1834.7068,-18040.6794,-3156.0664,76.89004200000001,-19875.3862,-3079.176358,-22954.562558,3
18,-1835.5213,-17998.2824,-3204.805,77.2120872,-19833.8037,-3127.5929128,-22961.3966128,3
19,-1846.6738,-18048.6588,-3168.4609,75.74230296,-19895.3326,-3092.71859704,-22988.05119704,3
0,-1846.2448,-18046.2029,-3150.7126,75.17008727999999,-19892.4477,-3075.5425127199996,-22967.99021272,4
1,-1805.9847,-18056.4045,-3178.2552,75.30461568,-19862.3892,-3102.95058432,-22965.33978432,4
2,-1787.9329,-18074.0393,-3175.6951,76.79725416,-19861.9722,-3098.8978458399997,-22960.87004584,4
3,-1803.7103,-18000.5308,-3227.8387,77.33728151999999,-19804.2411,-3150.5014184799998,-22954.74251848,4
4,-1829.9786,-17786.1271,-3358.2949,78.46220231999999,-19616.1057,-3279.83269768,-22895.93839768,4
