Frame #,VDWAALS,EEL,EGB,ESURF,DELTA G gas,DELTA G solv,DELTA TOTAL,Stage
0,-18.948200000000007,-54.62710000000112,64.04440000000011,-2.004269759999998,-73.57530000000179,62.040130240000195,-11.53516976000617,27
1,-16.933699999999845,-50.66390000000183,61.281699999999944,-2.2449376799999943,-67.59760000000142,59.03676231999975,-8.560837680004397,27
2,-21.355600000000187,-54.01609999999954,69.5698999999999,-2.490513120000003,-75.3717000000002,67.07938687999962,-8.292313119999676,27
3,-20.631400000000024,-34.574099999997145,48.09730000000019,-2.716821360000001,-55.205499999997414,45.38047864000009,-9.825021359996867,27
4,-18.424499999999938,-46.356500000000324,56.08660000000003,-2.483858160000006,-64.78100000000188,53.602741839999965,-11.178258160006067,27
5,-12.845700000000065,-40.14369999999781,47.047699999999736,-2.2549571999999927,-52.98939999999902,44.79274279999976,-8.19665719999739,27
6,-18.160300000000056,-43.99239999999935,52.949999999999875,-2.332593359999997,-62.15269999999964,50.61740663999973,-11.535293359999969,27
7,-18.388999999999868,-39.71900000000261,50.80820000000011,-2.4088773600000053,-58.10800000000063,48.39932264000009,-9.708677360002298,27
8,-16.066599999999987,-44.47490000000079,53.31520000000006,-2.275971120000003,-60.54150000000351,51.03922888000022,-9.502271120004707,27
9,-19.865900000000124,-31.127999999998565,45.269700000000284,-2.7475703999999954,-50.99389999999687,42.52212960000031,-8.471770399996558,27
10,-21.37710000000014,-36.16609999999781,51.04299999999989,-2.7083332800000033,-57.5431999999991,48.334666719999916,-9.20853328000203,27
11,-24.336800000000032,-38.61880000000076,54.743799999999965,-3.057212159999999,-62.95560000000307,51.68658783999996,-11.269012160000898,27
12,-25.6802000000001,-42.91639999999768,65.10959999999977,-3.237929280000003,-68.59659999999735,61.87167071999977,-6.724929279998037,27
13,-24.36219999999991,-50.33240000000143,67.7652,-2.847089520000001,-74.69460000000157,64.91811047999971,-9.776489520002315,27
14,-20.92330000000009,-40.987900000000764,54.62119999999976,-2.7976795199999955,-61.911200000002225,51.82352047999973,-10.087679520005281,27
15,-17.278100000000087,-41.05400000000293,51.42550000000011,-2.5816809600000052,-58.33210000000281,48.843819039999744,-9.488280960002612,27
16,-24.844600000000035,-34.58160000000265,51.76430000000002,-2.8170835200000077,-59.426200000002495,48.94721647999984,-10.478983520004931,27
17,-15.086900000000007,-37.643700000000536,45.31609999999978,-1.635604559999992,-52.730600000001914,43.68049543999973,-9.050104560003547,27
18,-10.809900000000084,-30.719699999999648,37.65409999999986,-1.166977440000002,-41.529599999996776,36.487122559999534,-5.042477439996787,27
19,-11.028099999999846,-32.43069999999972,39.82469999999984,-1.4780685599999934,-43.458799999997495,38.346631440000124,-5.11216855999885,27
