Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL,Stage
0,-1735.95,-17954.874,-3087.0948,1966.8452,-1276.1155,-19690.824,-2396.3651,-22087.1891,17
1,-1787.4481,-17934.0711,-3067.7178,1967.5067,-1267.2482,-19721.519200000002,-2367.4593,-22088.978500000005,17
2,-1731.07,-17893.1872,-3145.1504,1973.5027,-1271.8786,-19624.2572,-2443.5263,-22067.783499999998,17
3,-1767.1016,-17792.7215,-3216.0212,1963.2353,-1271.9097,-19559.8231,-2524.6956,-22084.5187,17
4,-1780.8686,-17791.6731,-3181.16,1966.5948,-1273.9076,-19572.5417,-2488.4727999999996,-22061.0145,17
5,-1757.279,-17780.8985,-3193.3889,1980.3918,-1287.2147,-19538.177499999998,-2500.2118,-22038.389299999995,17
6,-1798.6727,-17819.3279,-3209.7114,1959.2994,-1282.9751,-19618.0006,-2533.3871,-22151.3877,17
7,-1763.1107,-17888.765,-3106.3229,1964.1236,-1273.0706,-19651.8757,-2415.2699000000002,-22067.1456,17
8,-1786.8305,-17738.4542,-3302.0968,1962.7533,-1266.176,-19525.2847,-2605.5194999999994,-22130.8042,17
9,-1756.6899,-17810.3271,-3186.2777,1965.0213,-1260.2732,-19567.017,-2481.5296,-22048.546599999998,17
10,-1766.5868,-17876.476,-3176.921,1963.1786,-1274.9741,-19643.0628,-2488.7164999999995,-22131.7793,17
11,-1793.513,-17852.6685,-3153.3514,1967.0862,-1277.1493,-19646.1815,-2463.4145,-22109.595999999998,17
12,-1741.5637,-17811.5792,-3212.288,1971.3387,-1274.8764,-19553.1429,-2515.8257000000003,-22068.9686,17
13,-1754.6478,-17883.0552,-3149.3461,1971.4332,-1280.8267,-19637.702999999998,-2458.7396000000003,-22096.4426,17
14,-1744.9084,-17781.9092,-3294.6435,1976.7724,-1276.4506,-19526.8176,-2594.3217,-22121.1393,17
15,-1791.9332,-17897.6894,-3156.0467,1966.3821,-1264.1632,-19689.6226,-2453.8278,-22143.450399999998,17
16,-1774.9498,-17803.9304,-3225.5904,1973.068,-1279.5644,-19578.8802,-2532.0868,-22110.967,17
17,-1798.8066,-17835.3974,-3197.8983,1967.7619,-1272.1593,-19634.204,-2502.2956999999997,-22136.4997,17
18,-1756.9873,-17864.1395,-3179.2224,1966.3255,-1273.844,-19621.126800000002,-2486.7409000000002,-22107.867700000003,17
19,-1771.0151,-17776.6253,-3204.6142,1971.7356,-1279.0575,-19547.6404,-2511.9361,-22059.5765,17
