Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,DELTA G gas,DELTA G solv,DELTA TOTAL,Stage
0,-144.26839999999993,-337.8853000000008,382.9228999999998,-99.11890000000002,188.75500000000002,-482.15369999999757,472.55899999999974,-9.594700000001467,1
1,-148.9219000000001,-334.23780000000016,377.8126999999999,-99.46860000000007,186.63150000000007,-483.1596999999996,464.9755999999999,-18.184100000001536,1
2,-157.19169999999997,-363.7095000000004,423.41230000000024,-102.21369999999996,190.1022999999999,-520.9012000000006,511.3009000000002,-9.600299999999493,1
3,-145.136,-364.61529999999914,403.86820000000034,-100.94740000000016,188.51190000000005,-509.7512999999984,491.4327000000003,-18.318599999999037,1
4,-145.42179999999993,-360.57449999999915,401.8334,-101.2121000000001,187.35740000000004,-505.9962999999982,487.9786999999999,-18.017600000000584,1
5,-146.3746,-362.43769999999995,404.1823000000001,-100.38519999999991,186.18390000000016,-508.8122999999997,489.9810000000008,-18.831299999999942,1
6,-143.97400000000005,-373.85870000000074,419.69900000000007,-100.97570000000002,186.9474000000002,-517.8326999999997,505.6707,-12.16199999999776,1
7,-142.77850000000007,-399.28079999999784,430.35090000000014,-99.57719999999992,189.0070999999999,-542.0592999999969,519.7808000000001,-22.278499999998644,1
8,-149.05309999999992,-374.37260000000214,418.83170000000007,-100.65439999999978,189.77600000000004,-523.4257000000034,507.9533000000001,-15.472400000004654,1
9,-147.6178,-355.331600000001,398.5106,-100.39929999999993,187.58519999999993,-502.9494000000042,485.6965,-17.252900000001546,1
10,-145.62860000000006,-391.3267999999984,424.7425,-99.36460000000008,188.44090000000017,-536.9554000000019,513.8188000000002,-23.136600000001977,1
11,-148.81319999999985,-358.7272000000008,416.78710000000007,-100.30480000000017,188.6205999999998,-507.54040000000134,505.1028999999997,-2.437500000001023,1
12,-142.40570000000005,-318.5758,365.95970000000005,-99.0055000000001,185.58319999999986,-460.9815000000003,452.5373999999998,-8.444100000000049,1
13,-139.52240000000018,-328.0976000000014,373.4128000000002,-99.48260000000013,184.77400000000017,-467.61999999999955,458.7042,-8.915799999996352,1
14,-151.57170000000005,-319.87740000000065,374.69369999999964,-98.7031,186.1941999999999,-471.44910000000186,462.1847999999993,-9.264300000003004,1
15,-152.09830000000014,-317.6123000000021,364.51200000000006,-98.08880000000005,186.0376000000001,-469.7106000000016,452.46080000000006,-17.24980000000005,1
16,-142.91610000000003,-308.73199999999815,356.84290000000027,-99.30780000000001,186.27100000000002,-451.64809999999795,443.8061000000001,-7.841999999997483,1
17,-153.8477000000001,-308.86560000000014,363.8166999999997,-99.18969999999999,189.4566,-462.71330000000114,454.0835999999997,-8.629699999998707,1
18,-144.77490000000012,-338.24860000000126,388.0372000000003,-98.60380000000009,187.71609999999993,-483.02349999999933,477.1495000000001,-5.873999999996386,1
19,-138.81579999999988,-326.767,375.4191999999998,-97.46029999999996,186.83719999999988,-465.58280000000127,464.79609999999997,-0.7867000000018152,1
0,-143.39790000000005,-311.8577999999988,362.31350000000003,-96.41609999999989,185.33619999999988,-455.2556999999991,451.2335999999998,-4.022099999997067,2
1,-143.72710000000004,-313.5403999999981,355.8207000000002,-97.24299999999997,185.4361,-457.2674999999981,444.01379999999983,-13.253699999995547,2
2,-139.69159999999994,-315.82019999999943,359.8263,-97.61630000000005,182.06220000000013,-455.5117999999987,444.27219999999966,-11.239599999996244,2
3,-136.63590000000005,-318.50829999999803,373.89719999999994,-94.70100000000002,183.90219999999994,-455.14419999999853,463.0984000000001,7.954199999999673,2
4,-136.31120000000013,-305.8474000000019,355.10109999999986,-96.02399999999992,181.7881999999999,-442.1586000000011,440.8652999999999,-1.2932999999994763,2
5,-140.2166,-315.10449999999884,368.57049999999987,-96.27439999999993,184.94339999999988,-455.32110000000154,457.23949999999985,1.9183999999951311,2
6,-140.49429999999987,-317.7303999999992,372.8837,-94.19530000000003,183.78479999999985,-458.22469999999765,462.4732,4.248500000001059,2
7,-140.98740000000006,-329.9118000000014,390.57690000000036,-93.29770000000008,181.49899999999997,-470.8992000000042,478.7782,7.878999999991606,2
8,-136.52030000000002,-354.37730000000164,411.1148999999996,-94.88999999999999,182.89329999999993,-490.89760000000393,499.1181999999991,8.220599999997035,2
9,-130.4529000000001,-314.12200000000075,364.1752999999999,-93.40629999999993,181.54440000000005,-444.57490000000405,452.31340000000046,7.738499999994588,2
10,-137.1258999999999,-314.66670000000283,372.9291000000001,-93.57640000000006,182.01490000000013,-451.7926000000025,461.36760000000015,9.575000000000387,2
11,-137.72300000000007,-347.41119999999825,395.42800000000017,-93.09459999999996,183.44510000000002,-485.1341999999958,485.77850000000046,0.6443000000018628,2
12,-139.2592,-337.4183000000007,396.8718999999999,-94.34200000000004,183.56050000000002,-476.6775000000021,486.0904000000004,9.412900000002765,2
13,-134.41430000000003,-343.0943999999987,391.1434000000001,-94.74349999999993,181.61340000000013,-477.50869999999804,478.0133000000005,0.504600000002938,2
14,-130.87439999999987,-326.51689999999996,384.0394000000003,-95.31529999999995,182.04179999999994,-457.3912999999994,470.7659000000003,13.374600000001351,2
15,-134.4169,-331.4366000000007,391.12149999999997,-93.18899999999988,182.13480000000015,-465.85349999999977,480.0673000000003,14.213799999999651,2
16,-125.56750000000014,-319.49090000000126,376.5409000000001,-93.61420000000007,180.4641000000002,-445.0584000000005,463.39080000000024,18.33240000000069,2
17,-139.22279999999992,-384.97910000000144,431.28509999999983,-96.53419999999983,182.87559999999985,-524.2019000000034,517.6265000000003,-6.575400000004038,2
18,-133.62720000000007,-381.8917000000021,426.5909999999999,-95.2442999999999,180.0698,-515.5189000000058,511.4164999999999,-4.102400000005446,2
19,-134.53129999999993,-381.67240000000083,425.4956999999998,-95.13560000000004,182.0035,-516.2036999999993,512.3635999999999,-3.8401000000039858,2
0,-126.19660000000002,-352.48170000000164,408.4361000000002,-92.08330000000004,178.5211999999998,-478.6783000000014,494.8740000000002,16.19570000000283,3
1,-142.0776,-300.43430000000126,363.6826000000001,-93.76070000000013,179.76870000000002,-442.5119000000019,449.6906,7.178699999999935,3
2,-128.0934000000001,-338.5330999999985,380.2881000000001,-90.9589,179.94610000000003,-466.6264999999968,469.27530000000036,2.6488000000072134,3
3,-134.45519999999985,-347.41149999999936,397.6816999999998,-95.55139999999994,181.17780000000016,-481.86669999999924,483.3080999999998,1.4414000000009537,3
4,-129.18919999999997,-352.178,387.29450000000014,-93.05659999999986,176.95350000000002,-481.3672000000011,471.19140000000027,-10.175799999998617,3
