Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL,Stage
0,-1719.2619,-17122.6928,-3195.2877,1847.95,-1177.1615,-18841.954700000002,-2524.4991999999997,-21366.4539,1
1,-1728.6787,-17052.4073,-3236.2001,1854.9147,-1187.5108,-18781.086,-2568.7961999999998,-21349.882199999996,1
2,-1705.426,-17126.8431,-3154.7462,1846.3577,-1181.1794,-18832.269099999998,-2489.5679,-21321.837,1
3,-1723.2078,-17157.9391,-3138.7656,1856.2896,-1189.3203,-18881.1469,-2471.7963,-21352.943199999998,1
4,-1707.9154,-17043.8851,-3214.0619,1853.4027,-1187.018,-18751.8005,-2547.6772,-21299.477700000003,1
5,-1694.1647,-17135.6122,-3201.2469,1854.4422,-1189.9082,-18829.7769,-2536.7129000000004,-21366.489800000003,1
6,-1710.1185,-17101.1383,-3182.7383,1856.4597,-1192.381,-18811.2568,-2518.6596,-21329.916400000002,1
7,-1682.7409,-17132.9419,-3182.2084,1850.5488,-1186.9412,-18815.682800000002,-2518.6008,-21334.283600000002,1
8,-1715.8504,-17093.2188,-3199.9712,1851.6544,-1186.6998,-18809.069199999998,-2535.0166,-21344.085799999997,1
9,-1698.653,-17236.6073,-3118.0722,1849.514,-1186.4748,-18935.260299999998,-2455.0330000000004,-21390.293299999998,1
10,-1685.51,-17051.1346,-3233.9153,1844.0236,-1179.6782,-18736.6446,-2569.5699000000004,-21306.2145,1
11,-1699.6638,-17082.8865,-3188.3435,1846.9436,-1172.0892,-18782.5503,-2513.4891,-21296.039399999998,1
12,-1697.1914,-17083.6583,-3213.6477,1848.1957,-1182.6118,-18780.8497,-2548.0638,-21328.9135,1
13,-1715.0656,-17209.602,-3069.3827,1853.6058,-1184.505,-18924.6676,-2400.2819,-21324.949500000002,1
14,-1665.1293,-17214.645,-3128.7263,1845.6679,-1179.802,-18879.7743,-2462.8603999999996,-21342.6347,1
15,-1697.177,-17330.0578,-2998.5062,1835.0413,-1160.8306,-19027.2348,-2324.2954999999997,-21351.5303,1
16,-1707.5061,-17256.4408,-3042.3449,1831.696,-1159.1267,-18963.9469,-2369.7756,-21333.7225,1
17,-1719.9732,-17230.6897,-3061.8884,1841.1129,-1161.4756,-18950.6629,-2382.2510999999995,-21332.914,1
