GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-1739.4858,-17779.2229,-3482.0245,95.52438719999999,-19518.7087,-3386.5001128,-22905.2088128
1,-1717.7472,-17445.4366,-3691.0012,97.61553792,-19163.183800000003,-3593.38566208,-22756.569462080002
2,-1741.3084,-17793.5361,-3415.9434,93.34799928,-19534.8445,-3322.5954007200003,-22857.43990072
3,-1731.5698,-17616.5888,-3533.0777,95.0110164,-19348.158600000002,-3438.0666836,-22786.225283600004
4,-1734.0712,-17732.0935,-3443.1755,94.88549447999999,-19466.164699999998,-3348.29000552,-22814.45470552
5,-1731.8017,-17860.8461,-3417.5662,94.24635912,-19592.6478,-3323.3198408800004,-22915.96764088
6,-1729.4651,-17807.9094,-3387.9925,93.55060223999999,-19537.3745,-3294.44189776,-22831.81639776
7,-1727.7423,-17618.793,-3523.0031,94.93393824,-19346.535300000003,-3428.06916176,-22774.604461760006
8,-1734.5335,-17687.0956,-3503.215,95.566626,-19421.629100000002,-3407.6483740000003,-22829.277474000002
9,-1692.2169,-17632.515,-3589.869,96.15425688,-19324.7319,-3493.71474312,-22818.446643119998
10,-1707.8801,-17622.86,-3568.0403,96.43401792,-19330.7401,-3471.6062820800003,-22802.34638208
11,-1709.9097,-17579.9326,-3599.4708,97.11797904,-19289.8423,-3502.35282096,-22792.19512096
12,-1719.8752,-17611.5803,-3548.924,95.57476199999999,-19331.4555,-3453.349238,-22784.804738
13,-1719.4164,-17732.0861,-3461.3063,95.76361152,-19451.502500000002,-3365.5426884800004,-22817.045188480002
14,-1718.4529,-17612.4422,-3606.0813,95.74085376,-19330.8951,-3510.34044624,-22841.23554624
15,-1731.5492,-17554.8809,-3552.1223,94.35251808,-19286.4301,-3457.76978192,-22744.19988192
16,-1722.8913,-17594.987,-3558.361,95.23682712,-19317.8783,-3463.12417288,-22781.00247288
17,-1731.18,-17552.6213,-3548.7189,95.62686696,-19283.8013,-3453.09203304,-22736.89333304
18,-1736.1205,-17661.5032,-3496.7768,94.24829879999999,-19397.6237,-3402.5285012,-22800.1522012
