Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL,Stage
0,-37.4446,-445.0438,-293.8235,10.972841039999999,-482.48839999999996,-282.85065896000003,-765.3390589599999,35
1,-39.7067,-424.6591,-298.6536,10.9857168,-464.36580000000004,-287.6678832,-752.0336832,35
2,-37.0203,-412.7147,-307.7625,11.45161152,-449.735,-296.31088848,-746.0458884799999,35
3,-36.958,-429.0106,-290.5224,10.80865656,-465.96860000000004,-279.71374344000003,-745.68234344,35
4,-31.7643,-437.3148,-287.1858,10.62186264,-469.0791,-276.56393735999995,-745.6430373599999,35
5,-37.0171,-455.1524,-266.7006,11.20855752,-492.16949999999997,-255.49204248,-747.66154248,35
6,-34.736,-434.9371,-286.9684,11.25797184,-469.6731,-275.71042816,-745.38352816,35
7,-35.4856,-434.5386,-271.3748,10.811276639999999,-470.02419999999995,-260.56352336,-730.5877233599999,35
8,-36.2196,-440.531,-278.962,11.04883488,-476.7506,-267.91316512,-744.6637651200001,35
9,-32.8326,-483.9406,-245.9627,11.19213144,-516.7732,-234.77056856000002,-751.54376856,35
10,-32.787,-466.8297,-255.8868,11.2019112,-499.6167,-244.68488879999998,-744.3015888,35
11,-35.6395,-491.144,-237.9724,10.75904064,-526.7835,-227.21335936,-753.99685936,35
12,-37.3228,-473.0668,-245.4303,10.18967688,-510.3896,-235.24062311999998,-745.63022312,35
13,-38.0808,-447.5042,-265.7048,10.318896,-485.58500000000004,-255.38590399999998,-740.970904,35
14,-43.6672,-436.3203,-276.5063,10.4197788,-479.98749999999995,-266.0865212,-746.0740212,35
15,-36.4964,-466.0216,-256.8189,10.647927359999999,-502.518,-246.17097263999997,-748.68897264,35
16,-39.0006,-433.6247,-281.5172,10.50143328,-472.62530000000004,-271.01576672,-743.64106672,35
17,-40.5973,-438.2492,-279.1564,10.777755599999999,-478.8465,-268.37864440000004,-747.2251444,35
18,-39.7301,-423.3818,-294.615,10.30111488,-463.1119,-284.31388512,-747.42578512,35
19,-35.0089,-445.1076,-284.7696,10.70170632,-480.1165,-274.06789368,-754.18439368,35
