Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL,Stage
0,-1670.7561,-17252.1494,-3206.9886,84.06740088,-18922.905499999997,-3122.92119912,-22045.826699119996,36
1,-1685.3685,-17237.191,-3266.8587,83.2559004,-18922.5595,-3183.6027996000003,-22106.1622996,36
2,-1688.2501,-17278.5724,-3232.3371,84.05404992,-18966.822500000002,-3148.28305008,-22115.105550080003,36
3,-1665.4308,-17125.5847,-3339.6581,85.11818039999999,-18791.0155,-3254.5399196000003,-22045.5554196,36
4,-1687.1538,-17272.3376,-3232.471,84.60976032,-18959.4914,-3147.86123968,-22107.35263968,36
5,-1677.1755,-17152.3163,-3290.4676,83.19844224,-18829.4918,-3207.26915776,-22036.76095776,36
6,-1661.8584,-17197.2954,-3245.4319,85.84046784,-18859.1538,-3159.59143216,-22018.74523216,36
7,-1714.2342,-17342.21,-3195.1303,81.00974592,-19056.444199999998,-3114.1205540799997,-22170.56475408,36
8,-1701.5985,-17107.895,-3317.1073,81.78922152,-18809.4935,-3235.31807848,-22044.81157848,36
9,-1700.0044,-17106.483,-3297.039,82.91631672,-18806.4874,-3214.1226832800003,-22020.610083280004,36
10,-1676.2616,-17160.6274,-3251.3949,83.52905544,-18836.889000000003,-3167.86584456,-22004.75484456,36
11,-1703.4758,-17169.944,-3263.1744,83.11105656000001,-18873.4198,-3180.0633434399997,-22053.48314344,36
12,-1661.0917,-17156.1173,-3277.2457,86.1044256,-18817.209000000003,-3191.1412744,-22008.350274400003,36
13,-1711.6988,-17015.3836,-3330.9924,83.38889304,-18727.0824,-3247.6035069600002,-21974.68590696,36
14,-1692.675,-16930.9872,-3424.4589,85.31426304,-18623.6622,-3339.1446369600003,-21962.80683696,36
15,-1694.466,-17109.2874,-3294.6833,84.4005924,-18803.7534,-3210.2827076000003,-22014.0361076,36
16,-1699.7728,-17112.815,-3264.9705,82.60487855999999,-18812.587799999998,-3182.36562144,-21994.953421439997,36
17,-1730.2873,-17082.9275,-3353.3566,83.25251424,-18813.2148,-3270.10408576,-22083.31888576,36
18,-1683.7457,-16902.5657,-3454.5061,84.50356751999999,-18586.3114,-3370.00253248,-21956.313932479996,36
19,-1727.1373,-17084.1784,-3281.8822,81.8594532,-18811.3157,-3200.0227468,-22011.3384468,36
