Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL,Stage
0,-1927.5877,-18123.5781,-2913.3111,1861.4494,-1098.5342,-20051.1658,-2150.3959,-22201.5617,1
1,-1931.5438,-18219.456,-2834.8081,1849.9959,-1084.9526,-20150.999799999998,-2069.7648000000004,-22220.7646,1
2,-1943.0285,-18171.5422,-2863.1271,1854.0878,-1082.0095,-20114.5707,-2091.0488,-22205.6195,1
3,-1900.3173,-18307.266,-2777.2589,1856.2424,-1081.6271,-20207.5833,-2002.6435999999997,-22210.2269,1
4,-1906.7229,-18318.8136,-2801.0851,1855.699,-1092.168,-20225.536500000002,-2037.5540999999996,-22263.090600000003,1
5,-1889.8501,-18323.3795,-2775.5313,1859.6727,-1101.2459,-20213.2296,-2017.1045,-22230.3341,1
6,-1902.1812,-18273.8877,-2810.9156,1848.2052,-1076.7345,-20176.0689,-2039.4448999999997,-22215.513799999997,1
7,-1922.3331,-18242.635,-2783.8177,1859.4554,-1093.5801,-20164.9681,-2017.9424,-22182.910499999998,1
8,-1897.7736,-18270.221,-2816.8339,1855.4344,-1091.1419,-20167.9946,-2052.5414,-22220.536000000004,1
9,-1891.9605,-18144.4641,-2849.4512,1862.848,-1087.6107,-20036.424600000002,-2074.2138999999997,-22110.638500000005,1
10,-1911.5247,-18125.7245,-2933.9745,1853.8705,-1085.3711,-20037.2492,-2165.4750999999997,-22202.724299999998,1
11,-1909.9704,-18143.071,-2938.5604,1863.826,-1092.7583,-20053.0414,-2167.4927,-22220.534099999997,1
12,-1888.3037,-18108.047,-2919.4177,1861.3123,-1089.3174,-19996.3507,-2147.4228,-22143.7735,1
13,-1890.7035,-18091.0687,-2950.9035,1868.4282,-1103.0232,-19981.7722,-2185.4984999999997,-22167.2707,1
14,-1907.0239,-18017.7439,-2995.4204,1860.4996,-1092.1516,-19924.7678,-2227.0724,-22151.840200000002,1
15,-1873.4368,-18068.6584,-3051.0516,1881.6913,-1116.5335,-19942.0952,-2285.8938,-22227.989,1
16,-1885.8247,-17987.2525,-3044.6862,1872.8319,-1115.6156,-19873.0772,-2287.4699,-22160.5471,1
17,-1860.7587,-18052.6216,-2997.5456,1878.568,-1124.5998,-19913.380299999997,-2243.5774,-22156.9577,1
18,-1870.8603,-17843.5599,-3108.477,1882.1071,-1115.0086,-19714.4202,-2341.3785,-22055.7987,1
19,-1897.006,-17940.2206,-3038.6266,1865.3522,-1109.3235,-19837.2266,-2282.5978999999998,-22119.8245,1
0,-1881.8796,-17970.3648,-3044.8655,1868.8487,-1105.0257,-19852.2444,-2281.0424999999996,-22133.2869,2
1,-1875.8392,-18166.6753,-2929.3812,1869.3212,-1109.6295,-20042.514499999997,-2169.6894999999995,-22212.203999999998,2
2,-1874.0676,-18011.0577,-3006.0615,1880.7888,-1117.6896,-19885.1253,-2242.9622999999997,-22128.087600000003,2
3,-1891.59,-18004.6245,-2989.2785,1873.0823,-1100.8985,-19896.214500000002,-2217.0946999999996,-22113.3092,2
4,-1906.2754,-17971.355,-3050.9784,1871.7073,-1105.1831,-19877.6304,-2284.4542,-22162.0846,2
5,-1876.5843,-18061.2625,-3028.1561,1869.3165,-1112.3277,-19937.8468,-2271.1673,-22209.0141,2
6,-1914.4379,-17960.3137,-3076.9701,1869.4582,-1102.8047,-19874.7516,-2310.3166,-22185.068199999998,2
7,-1910.3277,-18027.6735,-3048.5926,1878.7287,-1119.3211,-19938.001200000002,-2289.185,-22227.186200000004,2
8,-1854.6442,-18046.1427,-2968.9384,1870.0772,-1115.7314,-19900.7869,-2214.5926,-22115.3795,2
9,-1904.1141,-18112.9343,-2951.156,1876.8954,-1117.2707,-20017.0484,-2191.5312999999996,-22208.5797,2
10,-1880.017,-18078.1411,-2979.5123,1879.4422,-1121.6174,-19958.1581,-2221.6875,-22179.845599999997,2
11,-1899.7782,-18110.6566,-2944.4921,1868.4235,-1114.5552,-20010.4348,-2190.6238,-22201.058599999997,2
12,-1848.0263,-18207.984,-2835.6547,1883.6191,-1122.2804,-20056.0103,-2074.3160000000003,-22130.3263,2
13,-1881.9247,-18268.3678,-2838.4902,1872.6901,-1111.8235,-20150.2925,-2077.6236,-22227.9161,2
14,-1850.0818,-18234.6831,-2783.5558,1881.0959,-1123.064,-20084.7649,-2025.5239000000001,-22110.288799999995,2
15,-1861.0059,-18137.4319,-2850.0965,1884.9279,-1124.0892,-19998.4378,-2089.2578000000003,-22087.6956,2
16,-1860.1653,-18220.3862,-2803.2971,1894.8456,-1134.038,-20080.5515,-2042.4894999999997,-22123.041,2
17,-1881.7746,-18189.8847,-2898.076,1871.6223,-1123.8238,-20071.6593,-2150.2775,-22221.9368,2
18,-1854.8908,-18273.7326,-2778.6844,1891.1129,-1134.7556,-20128.6234,-2022.3271,-22150.950500000003,2
19,-1853.869,-18132.7361,-2944.437,1887.4416,-1138.7316,-19986.605099999997,-2195.727,-22182.3321,2
0,-1903.527,-18194.5195,-2875.2107,1893.0265,-1138.9193,-20098.046499999997,-2121.1035,-22219.149999999998,3
1,-1878.5104,-18160.8463,-2892.1918,1892.7477,-1136.3631,-20039.3567,-2135.8072,-22175.1639,3
2,-1878.9128,-18185.2835,-2911.0602,1882.022,-1124.0185,-20064.196300000003,-2153.0567,-22217.253,3
3,-1881.7272,-18139.0594,-2951.6784,1888.2874,-1124.2866,-20020.7866,-2187.6776,-22208.4642,3
4,-1848.3816,-18169.9417,-2925.4825,1885.9579,-1131.8498,-20018.3233,-2171.3743999999997,-22189.6977,3
5,-1832.8154,-18189.6441,-2902.262,1886.6997,-1130.5384,-20022.4595,-2146.1007,-22168.5602,3
6,-1851.7505,-18307.5698,-2797.2718,1894.4109,-1133.9828,-20159.3203,-2036.8437,-22196.164,3
7,-1913.8998,-18157.6905,-2843.5542,1867.9321,-1109.9976,-20071.5903,-2085.6197,-22157.209999999995,3
8,-1878.3535,-18234.3345,-2845.198,1892.8848,-1134.6743,-20112.688000000002,-2086.9874999999997,-22199.6755,3
9,-1847.6845,-18114.4343,-2887.0322,1886.7895,-1130.3949,-19962.1188,-2130.6376,-22092.756400000002,3
10,-1860.5483,-18081.5195,-2983.613,1896.8443,-1134.1836,-19942.067799999997,-2220.9523,-22163.020099999998,3
11,-1875.812,-18109.2169,-2969.847,1892.2375,-1125.3723,-19985.028899999998,-2202.9818000000005,-22188.0107,3
12,-1861.211,-18099.8116,-2951.4383,1884.9562,-1132.5012,-19961.0226,-2198.9833,-22160.005899999996,3
13,-1861.028,-18122.1231,-2941.0293,1881.9322,-1127.7635,-19983.1511,-2186.8606,-22170.0117,3
14,-1866.6189,-18194.9966,-2885.1009,1888.3393,-1139.6292,-20061.6155,-2136.3908,-22198.0063,3
15,-1887.0205,-18198.4611,-2842.5013,1881.1998,-1116.62,-20085.4816,-2077.9214999999995,-22163.4031,3
16,-1845.376,-18137.9363,-2968.6104,1881.3416,-1124.7463,-19983.3123,-2212.0151,-22195.327400000002,3
17,-1859.8359,-18166.3597,-2846.7412,1887.2668,-1128.3196,-20026.1956,-2087.794,-22113.989599999997,3
18,-1890.874,-18204.106,-2879.5553,1878.6389,-1126.0134,-20094.98,-2126.9298,-22221.909799999998,3
19,-1818.9088,-18099.1095,-3034.6925,1893.8156,-1136.1607,-19918.0183,-2277.0376,-22195.0559,3
0,-1836.0147,-18113.9271,-3054.4512,1889.2087,-1143.3892,-19949.9418,-2308.6317,-22258.573500000002,4
1,-1861.2134,-18110.5934,-2954.1214,1891.7933,-1142.9399,-19971.806800000002,-2205.268,-22177.074800000002,4
2,-1865.4521,-18041.1334,-3055.9817,1895.8095,-1144.2341,-19906.585499999997,-2304.4062999999996,-22210.9918,4
3,-1859.0132,-18088.6113,-3034.23,1898.2287,-1159.5941,-19947.6245,-2295.5954,-22243.2199,4
4,-1843.6003,-18004.6899,-3024.1268,1897.2743,-1149.372,-19848.290200000003,-2276.2245000000003,-22124.5147,4
5,-1822.2198,-17980.9514,-3069.7027,1903.5869,-1156.4008,-19803.1712,-2322.5166,-22125.6878,4
6,-1839.8381,-18077.8612,-2976.6245,1886.6147,-1143.0357,-19917.6993,-2233.0454999999997,-22150.7448,4
7,-1857.7534,-18069.0709,-3040.9283,1887.2337,-1145.6566,-19926.8243,-2299.3512,-22226.175499999998,4
8,-1850.9954,-18051.8024,-3010.9199,1899.3108,-1154.144,-19902.7978,-2265.7531,-22168.550900000002,4
9,-1848.5228,-18061.1036,-3044.3098,1896.8491,-1149.9928,-19909.626399999997,-2297.4535,-22207.079899999997,4
10,-1824.3547,-17942.3009,-3101.4192,1906.9653,-1160.093,-19766.6556,-2354.5469,-22121.2025,4
11,-1814.5966,-17945.1546,-3130.515,1901.6497,-1156.4673,-19759.751200000002,-2385.3325999999997,-22145.083800000004,4
12,-1849.9854,-17932.6792,-3100.1193,1899.4809,-1149.3946,-19782.6646,-2350.033,-22132.6976,4
13,-1826.1949,-18017.2923,-3028.5695,1898.5406,-1157.4343,-19843.4872,-2287.4632,-22130.9504,4
14,-1865.8926,-17969.7564,-3088.8935,1902.2025,-1151.8179,-19835.648999999998,-2338.5089,-22174.1579,4
15,-1852.3888,-17870.293,-3110.8283,1886.6194,-1138.1324,-19722.681800000002,-2362.3413,-22085.023100000002,4
16,-1851.2023,-17885.9762,-3114.8129,1899.4809,-1150.9397,-19737.1785,-2366.2717,-22103.450200000003,4
17,-1866.4251,-17953.9274,-3056.8989,1882.4331,-1133.7402,-19820.3525,-2308.206,-22128.558500000003,4
18,-1869.5221,-18015.2966,-3023.869,1894.3354,-1141.2844,-19884.8187,-2270.818,-22155.6367,4
19,-1862.633,-17867.7786,-3122.6728,1898.0256,-1151.6072,-19730.411600000003,-2376.2544,-22106.666,4
0,-1855.352,-17884.7829,-3119.3387,1899.3675,-1149.8104,-19740.134899999997,-2369.7816,-22109.916499999996,5
1,-1844.6984,-17916.8142,-3077.5886,1896.2112,-1141.4133,-19761.512600000002,-2322.7907,-22084.3033,5
2,-1845.5959,-18003.3363,-2991.2356,1890.7443,-1138.8418,-19848.9322,-2239.3331,-22088.2653,5
3,-1884.9414,-17904.7008,-3101.8789,1894.633,-1136.7017,-19789.6422,-2343.9476000000004,-22133.589799999998,5
4,-1852.3535,-17808.1657,-3137.7067,1902.1978,-1143.9372,-19660.519200000002,-2379.4461,-22039.965300000003,5
5,-1859.8022,-17803.9215,-3173.6528,1895.7103,-1136.2073,-19663.723700000002,-2414.1498,-22077.8735,5
6,-1855.7062,-17893.8013,-3125.6351,1894.0944,-1136.5747,-19749.5075,-2368.1153999999997,-22117.6229,5
7,-1875.2972,-17838.5386,-3132.2419,1897.7846,-1140.3695,-19713.8358,-2374.8268,-22088.662600000003,5
8,-1855.8216,-17822.0685,-3116.8961,1896.2348,-1134.8866,-19677.8901,-2355.5479,-22033.438000000006,5
