Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,DELTA G gas,DELTA G solv,DELTA TOTAL,Stage
0,-8.419199999999925,-44.748200000002214,47.48849999999999,-6.1686999999998875,11.281199999999814,-53.16740000000328,52.60100000000011,-0.5664000000036822,30
1,-4.050800000000166,-39.17570000000063,40.157400000000166,-3.20130000000006,8.010100000000051,-43.226500000001465,44.96620000000041,1.739699999999857,30
2,-2.4161999999999324,-35.05699999999797,36.38120000000015,-1.490800000000121,4.69510000000011,-37.473199999997234,39.58550000000014,2.1123000000037564,30
3,-3.4936000000000647,-36.12050000000215,36.456400000000144,-2.4122999999999593,6.405200000000065,-39.61410000000291,40.44930000000022,0.8351999999973714,30
4,-1.9002000000001118,-39.64729999999747,41.623500000000206,-5.332300000000117,8.603199999999845,-41.54749999999598,44.89440000000013,3.3469000000050073,30
5,-4.579200000000149,-45.944099999998,46.96029999999996,-3.8675000000000637,6.7872000000001265,-50.523299999998585,49.879999999999995,-0.6433000000022275,30
6,-3.467799999999947,-48.83320000000106,48.43279999999993,-2.4973000000001377,5.727200000000096,-52.30099999999959,51.662700000000115,-0.6382999999962067,30
7,-4.00579999999993,-52.26310000000211,53.02340000000038,-3.834500000000162,6.175999999999988,-56.26890000000094,55.364900000000205,-0.90399999999795,30
8,-2.391600000000061,-47.55720000000076,47.4755999999999,-1.8877000000000521,4.679099999999863,-49.94880000000035,50.26699999999994,0.31819999999629545,30
9,-1.3573000000000022,-42.88579999999877,42.89130000000034,-1.5287000000000148,2.7932999999998884,-44.243099999996275,44.1559000000002,-0.08719999999141237,30
10,-0.46180000000000376,-33.73159999999751,33.31180000000029,0.5692000000000235,1.0883999999999219,-34.19339999999522,34.96940000000046,0.7760000000034779,30
11,-0.309000000000097,-38.42469999999861,37.772100000000364,0.5691999999999382,0.672899999999828,-38.733699999997384,39.014200000000585,0.2805000000049631,30
12,-0.5210000000000079,-45.24449999999831,44.57670000000007,0.5692999999999131,1.2194000000000642,-45.76549999999895,46.36539999999982,0.5998999999994794,30
13,-0.2650000000000148,-49.074300000001756,48.388200000000126,0.5691000000001338,0.5012000000000114,-49.33930000000362,49.45850000000027,0.11919999999577158,30
14,-0.6480999999999213,-45.351499999999874,44.84349999999961,0.115499999999912,1.6526999999999816,-45.99959999999959,46.6116999999997,0.6121000000015329,30
15,-0.47860000000002145,-45.52840000000157,44.93890000000005,0.5692000000000235,1.0828999999999667,-46.00700000000228,46.59100000000001,0.5840000000005148,30
16,-1.9514000000000706,-41.15490000000199,41.56190000000004,-1.5805999999998335,3.993299999999806,-43.1063000000014,43.97460000000001,0.868299999998726,30
17,-1.7161999999999935,-48.63339999999994,48.564500000000265,-2.379100000000051,4.013399999999933,-50.34960000000217,50.19880000000015,-0.1508000000002312,30
18,-0.4506000000000512,-40.347600000000114,39.878200000000106,0.06360000000003652,1.176199999999909,-40.79819999999904,41.11800000000028,0.31980000000169184,30
19,-0.36130000000009943,-40.27709999999922,39.63340000000011,0.3046000000001641,1.025800000000146,-40.638400000000274,40.96380000000022,0.32540000000631153,30
