Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL,Stage
0,-43.0293,-461.0811,-259.7543,131.3245,-126.0214,-504.11039999999997,-254.4512,-758.5615999999999,2
1,-37.0447,-450.1458,-259.7598,131.2583,-127.8608,-487.1905,-256.3623,-743.5528,2
2,-34.2582,-467.6519,-258.6004,132.2269,-127.5401,-501.9101,-253.91359999999997,-755.8236999999999,2
3,-37.9289,-452.9453,-260.1453,129.9637,-127.103,-490.8742,-257.2846,-748.1587999999999,2
4,-37.6435,-461.8424,-254.0716,130.3369,-125.8279,-499.4859,-249.56259999999997,-749.0485,2
5,-37.1797,-465.7847,-244.0032,129.8644,-126.2909,-502.96439999999996,-240.4297,-743.3941,2
6,-44.9698,-458.1291,-262.0004,130.507,-126.9408,-503.0989,-258.43420000000003,-761.5331,2
7,-38.1529,-460.3344,-256.0161,130.6157,-126.9843,-498.4873,-252.3847,-750.872,2
8,-32.044,-457.8221,-261.5315,130.5212,-125.5365,-489.86609999999996,-256.5468,-746.4129,2
9,-42.6023,-455.0651,-263.2295,130.3889,-126.1851,-497.6674,-259.0257,-756.6931,2
10,-34.9372,-457.6423,-258.996,130.3936,-126.3733,-492.5795,-254.9757,-747.5551999999999,2
11,-41.4014,-454.73,-263.6005,130.3133,-126.2015,-496.13140000000004,-259.4887,-755.6201,2
12,-41.3231,-447.1557,-266.9198,130.3889,-126.7263,-488.47880000000004,-263.2572,-751.736,2
13,-39.7262,-467.4943,-263.0151,130.6393,-125.8152,-507.2205,-258.19100000000003,-765.4114999999999,2
14,-36.1959,-458.5113,-261.2386,131.2914,-125.8531,-494.7072,-255.8003,-750.5074999999999,2
15,-44.4359,-452.8316,-254.4096,131.5749,-125.6526,-497.2675,-248.4873,-745.7548,2
16,-39.5063,-461.4645,-252.9959,130.8142,-126.5952,-500.9708,-248.7769,-749.7476999999999,2
17,-37.7928,-461.0548,-254.9227,131.2536,-126.465,-498.8476,-250.1341,-748.9817,2
18,-38.8479,-462.6489,-260.1628,130.3039,-125.8645,-501.4968,-255.72340000000003,-757.2202,2
19,-33.8079,-454.276,-264.3322,130.9937,-126.8868,-488.0839,-260.2253,-748.3092,2
